Zip,LessThan10K,MoreThan10K,MoreThan25K,MoreThan50K 
94524,0.07,0.22,0.36,0.35
94525,0.12,0.16,0.28,0.44
94526,0.15,0.08,0.12,0.65
94527,0.1,0.22,0.37,0.3
94528,0.14,0.09,0.11,0.66
94530,0.12,0.16,0.27,0.45
94531,0.13,0.12,0.19,0.56
94533,0.16,0.22,0.27,0.36
94534,0.13,0.1,0.17,0.6
94535,0.08,0.47,0.32,0.13
94536,0.11,0.13,0.22,0.54
94537,0.12,0.19,0.36,0.33
94538,0.1,0.15,0.25,0.49
94539,0.13,0.1,0.14,0.63
94540,0.07,0.19,0.43,0.31
94541,0.12,0.22,0.35,0.31
94542,0.12,0.13,0.23,0.51
94543,0.13,0.19,0.39,0.29
94544,0.12,0.23,0.33,0.31
94545,0.13,0.19,0.32,0.36
94546,0.12,0.15,0.26,0.47
94547,0.13,0.13,0.24,0.5
94548,0.15,0.23,0.25,0.37
94549,0.15,0.09,0.14,0.62
94550,0.12,0.13,0.2,0.56
94551,0.09,0.12,0.29,0.49
94552,0.13,0.08,0.12,0.67
94553,0.12,0.14,0.25,0.49
94555,0.1,0.12,0.19,0.59
94556,0.17,0.08,0.12,0.63
94558,0.15,0.19,0.25,0.41
94559,0.14,0.23,0.31,0.32
94560,0.12,0.17,0.27,0.45
94561,0.13,0.15,0.22,0.5
94563,0.14,0.08,0.1,0.68
94564,0.13,0.16,0.26,0.46
94565,0.14,0.23,0.31,0.33
94566,0.14,0.09,0.16,0.61
94567,0.2,0.21,0.21,0.37
94568,0.1,0.11,0.19,0.6
94570,0.13,0.16,0.26,0.45
94571,0.14,0.18,0.25,0.43
94572,0.15,0.19,0.28,0.39
94573,0.11,0.28,0.38,0.24
94574,0.14,0.2,0.25,0.41
94576,0.12,0.16,0.35,0.37
94577,0.11,0.19,0.33,0.37
94578,0.12,0.21,0.35,0.32
94579,0.12,0.18,0.3,0.4
94580,0.13,0.17,0.3,0.4
94581,0.11,0.3,0.37,0.23
94583,0.11,0.08,0.14,0.66
94585,0.14,0.16,0.23,0.47
94586,0.15,0.11,0.21,0.53
94587,0.13,0.18,0.26,0.43
94588,0.12,0.09,0.16,0.63
94589,0.16,0.21,0.31,0.32
94590,0.17,0.26,0.33,0.24
94591,0.14,0.17,0.26,0.43
94595,0.11,0.13,0.18,0.58
94596,0.1,0.12,0.24,0.53
94597,0.1,0.12,0.2,0.58
94598,0.14,0.09,0.15,0.61
94599,0.11,0.23,0.31,0.34
94601,0.17,0.33,0.36,0.14
94602,0.12,0.18,0.29,0.41
94603,0.17,0.3,0.36,0.17
94604,0.14,0.25,0.39,0.21
94605,0.14,0.22,0.3,0.34
94606,0.18,0.31,0.34,0.16
94607,0.22,0.33,0.29,0.17
94608,0.17,0.26,0.32,0.25
94609,0.15,0.28,0.34,0.23
94610,0.1,0.16,0.32,0.43
94611,0.11,0.12,0.22,0.54
94612,0.16,0.31,0.36,0.17
94613,0.41,0.12,0.24,0.24
94614,0.07,0.23,0.38,0.32
94618,0.09,0.11,0.2,0.59
94619,0.14,0.19,0.28,0.39
94620,0.1,0.21,0.39,0.31
94621,0.18,0.33,0.36,0.13
94623,0.1,0.14,0.42,0.34
94624,0.13,0.26,0.44,0.17
94662,0.11,0.24,0.35,0.31
94701,0.12,0.22,0.38,0.28
94702,0.13,0.23,0.32,0.32
94703,0.15,0.25,0.29,0.31
94704,0.28,0.26,0.27,0.2
94705,0.13,0.17,0.22,0.48
94706,0.13,0.17,0.24,0.46
94707,0.12,0.11,0.15,0.62
94708,0.11,0.11,0.15,0.63
94709,0.18,0.21,0.27,0.34
94710,0.16,0.27,0.32,0.25
94712,0.17,0.24,0.34,0.25
94720,0.42,0.34,0.16,0.09
94801,0.16,0.31,0.35,0.18
94802,0.1,0.23,0.45,0.22
94803,0.13,0.16,0.26,0.45
94804,0.15,0.25,0.33,0.27
94805,0.12,0.19,0.32,0.37
94806,0.14,0.25,0.34,0.27
94807,0.07,0.12,0.39,0.41
94820,0.09,0.17,0.34,0.4
94901,0.13,0.19,0.25,0.43
94903,0.13,0.13,0.21,0.53
94904,0.13,0.1,0.18,0.59
94912,0.12,0.22,0.39,0.27
94914,0.17,0.19,0.23,0.4
94915,0.1,0.24,0.35,0.31
94920,0.12,0.09,0.12,0.67
94922,0.23,0.26,0.21,0.3
94923,0.11,0.23,0.26,0.41
94924,0.25,0.24,0.23,0.28
94925,0.12,0.11,0.18,0.58
94927,0.08,0.22,0.41,0.29
94928,0.15,0.19,0.28,0.38
94929,0.13,0.14,0.27,0.46
94930,0.14,0.15,0.22,0.49
94931,0.13,0.19,0.3,0.38
94933,0.15,0.21,0.2,0.44
94937,0.15,0.23,0.25,0.37
94938,0.17,0.15,0.29,0.4
94939,0.1,0.1,0.19,0.61
94940,0.27,0.19,0.29,0.25
94941,0.12,0.11,0.17,0.6
94942,0.13,0.17,0.25,0.45
94945,0.15,0.14,0.21,0.5
94946,0.15,0.16,0.16,0.53
94947,0.14,0.14,0.22,0.49
94948,0.14,0.18,0.29,0.39
94949,0.11,0.14,0.22,0.53
94950,0.13,0.24,0.3,0.33
94951,0.15,0.18,0.24,0.44
94952,0.13,0.18,0.27,0.41
94953,0.13,0.23,0.31,0.33
94954,0.13,0.16,0.23,0.48
94955,0.08,0.23,0.38,0.3
94956,0.18,0.24,0.29,0.3
94957,0.16,0.1,0.14,0.61
94960,0.14,0.11,0.18,0.56
94963,0.17,0.2,0.19,0.44
94964,0.08,0.12,0.25,0.54
94965,0.1,0.13,0.21,0.56
94966,0.11,0.16,0.28,0.45
94970,0.14,0.18,0.23,0.44
94971,0.19,0.27,0.23,0.32
94972,0.19,0.3,0.27,0.24
94973,0.15,0.16,0.22,0.47
94975,0.1,0.15,0.37,0.38
94976,0.1,0.19,0.29,0.42
94977,0.14,0.18,0.33,0.35
94978,0.16,0.26,0.29,0.29
94979,0.1,0.2,0.34,0.35
95001,0.13,0.16,0.29,0.42
95002,0.12,0.27,0.34,0.27
95003,0.14,0.15,0.21,0.5
95004,0.13,0.16,0.24,0.46
95005,0.17,0.14,0.21,0.47
95006,0.13,0.15,0.2,0.52
95007,0.12,0.19,0.29,0.4
95008,0.1,0.13,0.23,0.54
95009,0.09,0.18,0.3,0.42
95010,0.14,0.2,0.29,0.37
95011,0.08,0.19,0.33,0.41
95012,0.19,0.34,0.3,0.17
95013,0.19,0.33,0.25,0.24
95014,0.12,0.08,0.13,0.67
95015,0.07,0.11,0.23,0.58
95017,0.16,0.26,0.27,0.31
95018,0.15,0.15,0.23,0.47
95019,0.17,0.39,0.3,0.14
95020,0.16,0.2,0.22,0.43
95021,0.16,0.37,0.32,0.15
95023,0.15,0.21,0.24,0.4
95024,0.15,0.34,0.33,0.18
95030,0.12,0.07,0.12,0.69
95031,0.08,0.12,0.24,0.56
95032,0.12,0.09,0.15,0.64
95033,0.13,0.09,0.16,0.62
95035,0.12,0.16,0.24,0.48
95036,0.09,0.18,0.32,0.4
95037,0.14,0.14,0.19,0.53
95038,0.14,0.23,0.31,0.32
95039,0.14,0.27,0.33,0.27
95041,0.17,0.19,0.26,0.38
95043,0.15,0.32,0.25,0.28
95044,0.13,0.08,0.2,0.59
95045,0.13,0.25,0.27,0.34
95046,0.16,0.22,0.23,0.38
95050,0.09,0.15,0.25,0.51
95051,0.09,0.13,0.21,0.57
95052,0.13,0.21,0.23,0.43
95054,0.1,0.14,0.22,0.55
95055,0.07,0.14,0.24,0.55
95056,0.06,0.11,0.26,0.56
95060,0.17,0.22,0.24,0.37
95061,0.18,0.26,0.32,0.24
95062,0.15,0.23,0.28,0.34
95063,0.14,0.22,0.33,0.31
95064,0.39,0.23,0.17,0.2
95065,0.15,0.17,0.2,0.48
95066,0.13,0.11,0.17,0.58
95067,0.1,0.15,0.25,0.5
95070,0.14,0.08,0.1,0.69
95071,0.15,0.12,0.23,0.5
95073,0.15,0.2,0.23,0.42
95075,0.21,0.17,0.2,0.41
95076,0.17,0.34,0.27,0.23
95077,0.15,0.47,0.27,0.1
95103,0.19,0.23,0.36,0.22
95106,0.12,0.26,0.4,0.22
95108,0.14,0.3,0.28,0.28
95109,0.13,0.27,0.36,0.24
95110,0.12,0.29,0.33,0.27
95111,0.14,0.26,0.32,0.28
95112,0.13,0.26,0.33,0.28
95113,0.17,0.27,0.31,0.26
95116,0.14,0.3,0.35,0.21
95117,0.1,0.17,0.27,0.45
95118,0.12,0.14,0.22,0.52
95119,0.13,0.13,0.19,0.55
95120,0.14,0.09,0.11,0.66
95121,0.14,0.21,0.29,0.37
95122,0.14,0.3,0.34,0.22
95123,0.11,0.14,0.24,0.51
95124,0.11,0.12,0.2,0.57
95125,0.1,0.12,0.21,0.57
95126,0.1,0.19,0.29,0.42
95127,0.13,0.22,0.3,0.35
95128,0.1,0.17,0.29,0.45
95129,0.11,0.1,0.18,0.61
95130,0.12,0.13,0.23,0.52
95131,0.09,0.14,0.24,0.54
95132,0.12,0.16,0.25,0.47
95133,0.13,0.21,0.28,0.37
95134,0.06,0.1,0.2,0.64
95135,0.1,0.09,0.13,0.68
95136,0.11,0.15,0.24,0.5
95138,0.09,0.1,0.16,0.65
95139,0.13,0.12,0.17,0.58
95140,0.14,0.2,0.18,0.48
95148,0.14,0.17,0.24,0.45
95150,0.1,0.16,0.35,0.39
